ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	external_gene_name	description	gene_biotype	chromosome_name	start_position	end_position	strand	Entrez
ENSMUSG00000051951	193.62831633232165	-0.6856629442025844	0.7567116974709709	-0.8400331940513842	0.40088977528664804	0.6026333734851832	Xkr4	X-linked Kx blood group related 4 [Source:MGI Symbol;Acc:MGI:3528744]	protein_coding	1	3205901	3671498	-1	497097
ENSMUSG00000102331	0.5521333784523419	-1.8261526042537	2.739902902923482	-0.6482538495647205	0.5168207780245853	NA	Gm19938	predicted gene, 19938 [Source:MGI Symbol;Acc:MGI:5012123]	sense_intronic	1	3647309	3658904	-1	NA
ENSMUSG00000025900	2.09442070179461	3.027821351850419	1.5415073929765528	1.9317593710014165	0.05338921295872008	0.13996551971057591	Rp1	Oxygen-regulated protein 1  [Source:UniProtKB/Swiss-Prot;Acc:P56716]	protein_coding	1	3999557	4409241	-1	19888
ENSMUSG00000025902	52.42083041615795	0.7032534251525521	0.41735648820206694	1.5652168915995706	0.11753206215810688	0.2533967738943159	Sox17	Transcription factor SOX-17  [Source:UniProtKB/Swiss-Prot;Acc:Q61473]	protein_coding	1	4490931	4497354	-1	20671
ENSMUSG00000098104	0.684213614702782	-0.20173516508373796	1.6866150798774655	-0.08996431188956386	0.9283155747770128	NA	Gm6085	predicted gene 6085 [Source:MGI Symbol;Acc:MGI:3646770]	processed_pseudogene	1	4687934	4689403	-1	NA
ENSMUSG00000103922	27.58710766743787	-1.6359183853803025	0.6695319589698088	-2.3686970638720717	0.017850867881547664	0.059875310551206685	Gm6123	predicted gene 6123 [Source:MGI Symbol;Acc:MGI:3647047]	processed_pseudogene	1	4771131	4772199	1	NA
ENSMUSG00000033845	358.0423841766502	-0.4431431580183606	0.15537816347116223	-2.5302342957047945	0.011398638227138925	0.04205956017674904	Mrpl15	39S ribosomal protein L15, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:Q9CPR5]	protein_coding	1	4773206	4785739	-1	27395
ENSMUSG00000102275	1.0348459675718036	2.2736263534247847	1.6016038512482886	1.388374754276279	0.16502295973474707	NA	Gm37144	predicted gene, 37144 [Source:MGI Symbol;Acc:MGI:5610372]	TEC	1	4778063	4779212	-1	NA
ENSMUSG00000025903	724.446609497753	-0.6656711573328749	0.1478145782436559	-4.16515856993489	3.1113623536372503e-5	3.004754760301964e-4	Lypla1	Acyl-protein thioesterase 1  [Source:UniProtKB/Swiss-Prot;Acc:P97823]	protein_coding	1	4807788	4848410	1	18777
ENSMUSG00000033813	992.4631607262409	0.11117482762867255	0.07523506611609869	0.8131158884644409	0.41615161776978965	0.6185378537554881	Tcea1	Transcription elongation factor A protein 1  [Source:UniProtKB/Swiss-Prot;Acc:P10711]	protein_coding	1	4857814	4897909	1	21399
ENSMUSG00000062588	1.7054769290503304	1.2036707094837804	1.5496293681134048	0.7444817020267989	0.4565851070848524	0.6568762600037293	Gm6104	predicted gene 6104 [Source:MGI Symbol;Acc:MGI:3648587]	processed_pseudogene	1	4880049	4880651	-1	NA
ENSMUSG00000103280	11.072708709924738	2.087094666761402	0.5873171582472616	3.468474636158649	5.23421933536269e-4	0.003383091205897035	Gm37277	predicted gene, 37277 [Source:MGI Symbol;Acc:MGI:5610505]	TEC	1	4905751	4906861	-1	NA
ENSMUSG00000002459	46.503926311316285	1.3630380908306452	0.5422854601129996	2.4213042528505904	0.015464927499258182	0.05354971172298104	Rgs20	regulator of G-protein signaling 20 [Source:MGI Symbol;Acc:MGI:1929866]	protein_coding	1	4909576	5070285	-1	58175
ENSMUSG00000033793	1263.6633460051207	-0.8902537755391853	0.10788293159733862	-7.788570101852085	6.777176748695793e-15	5.350032682321056e-13	Atp6v1h	V-type proton ATPase subunit H  [Source:UniProtKB/Swiss-Prot;Acc:Q8BVE3]	protein_coding	1	5070018	5162529	1	108664
ENSMUSG00000025907	1415.8709572037237	-0.36258922039988367	0.20306009786806034	-1.539392641300659	0.12370846943731628	0.2623678562432483	Rb1cc1	RB1-inducible coiled-coil protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9ESK9]	protein_coding	1	6206197	6276648	1	12421
ENSMUSG00000090031	32.886556382799384	0.8729127535552946	0.28870125946187586	2.8503954402178957	0.004366490435039832	0.019473155303945805	4732440D04Rik	RIKEN cDNA 4732440D04 gene [Source:MGI Symbol;Acc:MGI:3604103]	antisense	1	6209866	6215293	-1	NA
ENSMUSG00000103845	0.7203784088624132	-0.09605792422399692	2.0288748995934243	-0.02270121446779527	0.9818886070810791	NA	Gm19026	predicted gene, 19026 [Source:MGI Symbol;Acc:MGI:5011211]	processed_pseudogene	1	6429655	6441296	-1	NA
ENSMUSG00000102135	8.213276100907123	0.5848008245294126	0.5384185013757935	0.9932809202560149	0.3205730729863348	0.5171191040838579	Gm37108	predicted gene, 37108 [Source:MGI Symbol;Acc:MGI:5610336]	processed_pseudogene	1	6916559	6923588	1	NA
ENSMUSG00000051285	1483.974940773598	-1.344267661102281	0.18271032611007018	-7.083713814415587	1.4034158564134289e-12	7.396118190655259e-11	Pcmtd1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:MGI Symbol;Acc:MGI:2441773]	protein_coding	1	7088920	7173628	1	319263
ENSMUSG00000103509	25.86772121819168	-1.3006347566783707	0.33822100307820463	-3.697685079566731	2.1757457678635414e-4	0.0015982070746565203	Gm38372	predicted gene, 38372 [Source:MGI Symbol;Acc:MGI:5611600]	TEC	1	7148110	7152137	1	NA
ENSMUSG00000048538	4.833921901848698	-0.06598820996604844	0.6352605150485323	-0.02516795800668798	0.9799209946629449	1	Gm9826	predicted gene 9826 [Source:MGI Symbol;Acc:MGI:3642725]	processed_pseudogene	1	7177739	7179037	1	NA
ENSMUSG00000097797	4.86980462752649	-0.5332055481550543	0.7848037774007148	-0.615702373089284	0.5380909707928425	0.7324304728721348	Gm26901	predicted gene, 26901 [Source:MGI Symbol;Acc:MGI:5477395]	lincRNA	1	7349406	7397869	-1	NA
ENSMUSG00000084353	1.379968786389251	0.3113267678869527	1.3940929161892928	0.18745290565085204	0.851305544963653	NA	Gm15452	predicted gene 15452 [Source:MGI Symbol;Acc:MGI:3768636]	processed_pseudogene	1	8791923	8792162	-1	NA
ENSMUSG00000103933	3.4008757878209646	0.2669948083619547	0.7739933668982888	0.28035745219825664	0.7792032767929647	0.9184846555753503	Gm36964	predicted gene, 36964 [Source:MGI Symbol;Acc:MGI:5610192]	processed_pseudogene	1	8815842	8816039	1	NA
ENSMUSG00000076135	1.06647387085376	-1.2895219219203098	1.7759853058532449	-0.697934784615124	0.48521797949125584	NA	Gm24276	predicted gene, 24276 [Source:MGI Symbol;Acc:MGI:5454053]	miRNA	1	8816138	8816247	1	NA
